platform,surface_type,desired_velocity_mps,method,recommended_cmd_mps,expected_actual_mps,status,reason
booster_k1,lab_hard_floor,0.3048,scalar_gain,0.31513272000000003,0.3048,naive,u_cmd = 1.034 * v_desired
booster_k1,lab_hard_floor,0.3048,nearest_lookup,0.35,0.3023864643282712,lookup,"nearest match at cmd=0.350 m/s, actual=0.302 m/s"
booster_k1,lab_hard_floor,0.3048,ordinary_interpolation,0.374748,0.3048,interpolated,global interpolation between cmd=0.350 and 0.400
booster_k1,lab_hard_floor,0.3072627045756289,ours_conservative_monotonic,,,insufficient_evidence,risk policy balanced removed all candidate cells
booster_k1,lab_hard_floor,0.3072627045756289,direct_command,0.3072627045756289,,naive,"u_cmd = v_desired, no compensation"
booster_k1,lab_hard_floor,0.3072627045756289,scalar_gain,0.3176789102607427,0.3072627045756289,naive,u_cmd = 1.034 * v_desired
booster_k1,lab_hard_floor,0.3072627045756289,nearest_lookup,0.4,0.3072627045756289,lookup,"nearest match at cmd=0.400 m/s, actual=0.307 m/s"
booster_k1,lab_hard_floor,0.3072627045756289,ordinary_interpolation,0.4,0.307263,interpolated,global interpolation between cmd=0.350 and 0.400
booster_k1,lab_hard_floor,0.3961,ours_conservative_monotonic,,,insufficient_evidence,risk policy balanced removed all candidate cells
booster_k1,lab_hard_floor,0.3961,direct_command,0.3961,,naive,"u_cmd = v_desired, no compensation"
